from,to,is_immune
suprabasal keratinocyte,epidermal,FALSE
papillary tips cell,renal,FALSE
retinal blood vessel endothelial cell,endothelial,FALSE
kidney loop of Henle ascending limb epithelial cell,epithelial,FALSE
L4 intratelencephalic projecting glutamatergic neuron,neuron,FALSE
sperm,reproductive,FALSE
fibroblast of connective tissue of nonglandular part of prostate,stromal,FALSE
lens epithelial cell,epithelial,FALSE
glomerular endothelial cell,endothelial,FALSE
kidney resident macrophage,macrophage,TRUE
epithelial cell of stratum germinativum of esophagus,epithelial,FALSE
basal epithelial cell of prostatic duct,epithelial,FALSE
serous cell of epithelium of bronchus,epithelial,FALSE
urothelial cell,epithelial,FALSE
GABAergic interneuron,neuron,FALSE
intestinal crypt stem cell of small intestine,progenitor,FALSE
enterocyte of epithelium proper of ileum,epithelial,FALSE
smooth muscle fiber of ileum,muscle,FALSE
L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,neuron,FALSE
ventricular cardiac muscle cell,muscle,FALSE
endocrine cell,endocrine,FALSE
mesenchymal stem cell,progenitor,FALSE
unknown,other,FALSE
neural cell,neuron,FALSE
cardiac neuron,neuron,FALSE
lamp5 GABAergic cortical interneuron,neuron,FALSE
chandelier pvalb GABAergic cortical interneuron,neuron,FALSE
L5 extratelencephalic projecting glutamatergic cortical neuron,neuron,FALSE
blood vessel endothelial cell,endothelial,FALSE
basal cell,epithelial,FALSE
intestinal crypt stem cell of colon,progenitor,FALSE
goblet cell,secretory,FALSE
bronchus fibroblast of lung,progenitor,FALSE
lung secretory cell,secretory,FALSE
metallothionein-positive alveolar macrophage,macrophage,TRUE
pancreatic ductal cell,endocrine,FALSE
pancreatic D cell,endocrine,FALSE
kidney collecting duct principal cell,renal,FALSE
kidney loop of Henle thin descending limb epithelial cell,epithelial,FALSE
periportal region hepatocyte,liver,FALSE
Merkel cell,sensory,FALSE
megakaryocyte-erythroid progenitor cell,blood,FALSE
endothelial tip cell,endothelial,FALSE
glandular cell of esophagus,epithelial,FALSE
kidney epithelial cell,epithelial,FALSE
podocyte,renal,FALSE
interstitial cell of ovary,stromal,FALSE
tracheal goblet cell,secretory,FALSE
lung ciliated cell,epithelial,FALSE
cortical interneuron,neuron,FALSE
ependymal cell,glial,FALSE
serous secreting cell of bronchus submucosal gland,epithelial,FALSE
enucleated reticulocyte,blood,FALSE
neuroblast (sensu Vertebrata),progenitor,FALSE
type I enteroendocrine cell,endocrine,FALSE
fibroblast of breast,stromal,FALSE
retinal cone cell,neuron,FALSE
enterocyte of epithelium of large intestine,epithelial,FALSE
H2 horizontal cell,neuron,FALSE
diffuse bipolar 3a cell,neuron,FALSE
starburst amacrine cell,neuron,FALSE
ON-blue cone bipolar cell,neuron,FALSE
duct epithelial cell,epithelial,FALSE
